,track_title,album_title
635,Coronation Drop,Up An' Atom
636,Overtime,Up An' Atom
637,Imagination,Up An' Atom
638,Don't Take Your Love From Me,Up An' Atom
639,Midget,Up An' Atom
640,I'm Coming Virginia,Up An' Atom
641,Payin' Them Dues Blues,Up An' Atom
642,Jungle Drums,Up An' Atom
643,Showcase,Up An' Atom
644,Swedish Schnapps,Up An' Atom
645,Samba Da Bênção,Vinícius De Moraes - Sem Limite
646,Pot-Pourri N.º 4,Vinícius De Moraes - Sem Limite
647,Onde Anda Você,Vinícius De Moraes - Sem Limite
648,Samba Da Volta,Vinícius De Moraes - Sem Limite
649,Canto De Ossanha,Vinícius De Moraes - Sem Limite
650,Pot-Pourri N.º 5,Vinícius De Moraes - Sem Limite
651,Formosa,Vinícius De Moraes - Sem Limite
652,Como É Duro Trabalhar,Vinícius De Moraes - Sem Limite
653,Minha Namorada,Vinícius De Moraes - Sem Limite
654,Por Que Será,Vinícius De Moraes - Sem Limite
655,Berimbau,Vinícius De Moraes - Sem Limite
656,Deixa,Vinícius De Moraes - Sem Limite
657,Pot-Pourri N.º 2,Vinícius De Moraes - Sem Limite
658,Samba Em Prelúdio,Vinícius De Moraes - Sem Limite
659,Carta Ao Tom 74,Vinícius De Moraes - Sem Limite
660,Linha de Passe (João Bosco),Vozes do MPB
661,Pela Luz dos Olhos Teus (Miúcha e Tom Jobim),Vozes do MPB
662,Chão de Giz (Elba Ramalho),Vozes do MPB
663,Marina (Dorival Caymmi),Vozes do MPB
664,Aquarela (Toquinho),Vozes do MPB
665,Coração do Agreste (Fafá de Belém),Vozes do MPB
666,Dona (Roupa Nova),Vozes do MPB
667,Começaria Tudo Outra Vez (Maria Creuza),Vozes do MPB
668,Caçador de Mim (Sá & Guarabyra),Vozes do MPB
669,Romaria (Renato Teixeira),Vozes do MPB
670,As Rosas Não Falam (Beth Carvalho),Vozes do MPB
671,Wave (Os Cariocas),Vozes do MPB
672,Garota de Ipanema (Dick Farney),Vozes do MPB
673,Preciso Apender a Viver Só (Maysa),Vozes do MPB
674,Susie Q,"Chronicle, Vol. 1"
675,I Put A Spell On You,"Chronicle, Vol. 1"
676,Proud Mary,"Chronicle, Vol. 1"
677,Bad Moon Rising,"Chronicle, Vol. 1"
678,Lodi,"Chronicle, Vol. 1"
679,Green River,"Chronicle, Vol. 1"
680,Commotion,"Chronicle, Vol. 1"
681,Down On The Corner,"Chronicle, Vol. 1"
682,Fortunate Son,"Chronicle, Vol. 1"
683,Travelin' Band,"Chronicle, Vol. 1"
684,Who'll Stop The Rain,"Chronicle, Vol. 1"
685,Up Around The Bend,"Chronicle, Vol. 1"
686,Run Through The Jungle,"Chronicle, Vol. 1"
687,Lookin' Out My Back Door,"Chronicle, Vol. 1"
688,Long As I Can See The Light,"Chronicle, Vol. 1"
689,I Heard It Through The Grapevine,"Chronicle, Vol. 1"
690,Have You Ever Seen The Rain?,"Chronicle, Vol. 1"
691,Hey Tonight,"Chronicle, Vol. 1"
692,Sweet Hitch-Hiker,"Chronicle, Vol. 1"
693,Someday Never Comes,"Chronicle, Vol. 1"
694,Walking On The Water,"Chronicle, Vol. 2"
695,"Suzie-Q, Pt. 2","Chronicle, Vol. 2"
696,Born On The Bayou,"Chronicle, Vol. 2"
697,Good Golly Miss Molly,"Chronicle, Vol. 2"
698,Tombstone Shadow,"Chronicle, Vol. 2"
699,Wrote A Song For Everyone,"Chronicle, Vol. 2"
700,Night Time Is The Right Time,"Chronicle, Vol. 2"
701,Cotton Fields,"Chronicle, Vol. 2"
702,It Came Out Of The Sky,"Chronicle, Vol. 2"
703,Don't Look Now,"Chronicle, Vol. 2"
704,The Midnight Special,"Chronicle, Vol. 2"
705,Before You Accuse Me,"Chronicle, Vol. 2"
706,My Baby Left Me,"Chronicle, Vol. 2"
707,Pagan Baby,"Chronicle, Vol. 2"
708,(Wish I Could) Hideaway,"Chronicle, Vol. 2"
709,It's Just A Thought,"Chronicle, Vol. 2"
710,Molina,"Chronicle, Vol. 2"
711,Born To Move,"Chronicle, Vol. 2"
712,Lookin' For A Reason,"Chronicle, Vol. 2"
713,Hello Mary Lou,"Chronicle, Vol. 2"
714,Gatas Extraordinárias,Cássia Eller - Coleção Sem Limite [Disc 2]
715,Brasil,Cássia Eller - Coleção Sem Limite [Disc 2]
716,Eu Sou Neguinha (Ao Vivo),Cássia Eller - Coleção Sem Limite [Disc 2]
717,Geração Coca-Cola (Ao Vivo),Cássia Eller - Coleção Sem Limite [Disc 2]
718,Lanterna Dos Afogados,Cássia Eller - Coleção Sem Limite [Disc 2]
719,Coroné Antonio Bento,Cássia Eller - Coleção Sem Limite [Disc 2]
720,"Você Passa, Eu Acho Graça (Ao Vivo)",Cássia Eller - Coleção Sem Limite [Disc 2]
721,Meu Mundo Fica Completo (Com Você),Cássia Eller - Coleção Sem Limite [Disc 2]
722,1° De Julho,Cássia Eller - Coleção Sem Limite [Disc 2]
723,Música Urbana 2,Cássia Eller - Coleção Sem Limite [Disc 2]
724,Vida Bandida (Ao Vivo),Cássia Eller - Coleção Sem Limite [Disc 2]
725,Palavras Ao Vento,Cássia Eller - Coleção Sem Limite [Disc 2]
726,Não Sei O Que Eu Quero Da Vida,Cássia Eller - Coleção Sem Limite [Disc 2]
727,Woman Is The Nigger Of The World (Ao Vivo),Cássia Eller - Coleção Sem Limite [Disc 2]
728,Juventude Transviada (Ao Vivo),Cássia Eller - Coleção Sem Limite [Disc 2]
729,Malandragem,Cássia Eller - Sem Limite [Disc 1]
730,O Segundo Sol,Cássia Eller - Sem Limite [Disc 1]
731,Smells Like Teen Spirit (Ao Vivo),Cássia Eller - Sem Limite [Disc 1]
732,E.C.T.,Cássia Eller - Sem Limite [Disc 1]
733,Todo Amor Que Houver Nesta Vida,Cássia Eller - Sem Limite [Disc 1]
734,Metrô. Linha 743,Cássia Eller - Sem Limite [Disc 1]
735,Nós (Ao Vivo),Cássia Eller - Sem Limite [Disc 1]
736,Na Cadência Do Samba,Cássia Eller - Sem Limite [Disc 1]
737,Admirável Gado Novo,Cássia Eller - Sem Limite [Disc 1]
738,Eleanor Rigby,Cássia Eller - Sem Limite [Disc 1]
739,Socorro,Cássia Eller - Sem Limite [Disc 1]
740,Blues Da Piedade,Cássia Eller - Sem Limite [Disc 1]
741,Rubens,Cássia Eller - Sem Limite [Disc 1]
742,Não Deixe O Samba Morrer - Cassia Eller e Alcione,Cássia Eller - Sem Limite [Disc 1]
743,Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos),Cássia Eller - Sem Limite [Disc 1]
744,Comin' Home,Come Taste The Band
745,Lady Luck,Come Taste The Band
746,Gettin' Tighter,Come Taste The Band
747,Dealer,Come Taste The Band
748,I Need Love,Come Taste The Band
749,Drifter,Come Taste The Band
750,Love Child,Come Taste The Band
751,This Time Around / Owed to 'G' [Instrumental],Come Taste The Band
752,You Keep On Moving,Come Taste The Band
753,Speed King,Deep Purple In Rock
754,Bloodsucker,Deep Purple In Rock
755,Child In Time,Deep Purple In Rock
756,Flight Of The Rat,Deep Purple In Rock
757,Into The Fire,Deep Purple In Rock
758,Living Wreck,Deep Purple In Rock
759,Hard Lovin' Man,Deep Purple In Rock
760,Fireball,Fireball
761,No No No,Fireball
762,Strange Kind Of Woman,Fireball
763,Anyone's Daughter,Fireball
764,The Mule,Fireball
765,Fools,Fireball
766,No One Came,Fireball
767,Knocking At Your Back Door,Knocking at Your Back Door: The Best Of Deep Purple in the 80's
768,Bad Attitude,Knocking at Your Back Door: The Best Of Deep Purple in the 80's
769,Child In Time (Son Of Aleric - Instrumental),Knocking at Your Back Door: The Best Of Deep Purple in the 80's
770,Nobody's Home,Knocking at Your Back Door: The Best Of Deep Purple in the 80's
771,Black Night,Knocking at Your Back Door: The Best Of Deep Purple in the 80's
772,Perfect Strangers,Knocking at Your Back Door: The Best Of Deep Purple in the 80's
773,The Unwritten Law,Knocking at Your Back Door: The Best Of Deep Purple in the 80's
774,Call Of The Wild,Knocking at Your Back Door: The Best Of Deep Purple in the 80's
775,Hush,Knocking at Your Back Door: The Best Of Deep Purple in the 80's
776,Smoke On The Water,Knocking at Your Back Door: The Best Of Deep Purple in the 80's
777,Space Trucking,Knocking at Your Back Door: The Best Of Deep Purple in the 80's
778,Highway Star,Machine Head
779,Maybe I'm A Leo,Machine Head
780,Pictures Of Home,Machine Head
781,Never Before,Machine Head
782,Smoke On The Water,Machine Head
783,Lazy,Machine Head
784,Space Truckin',Machine Head
785,Vavoom : Ted The Mechanic,Purpendicular
786,Loosen My Strings,Purpendicular
787,Soon Forgotten,Purpendicular
788,Sometimes I Feel Like Screaming,Purpendicular
789,Cascades : I'm Not Your Lover,Purpendicular
790,The Aviator,Purpendicular
791,Rosa's Cantina,Purpendicular
792,A Castle Full Of Rascals,Purpendicular
793,A Touch Away,Purpendicular
794,Hey Cisco,Purpendicular
795,Somebody Stole My Guitar,Purpendicular
796,The Purpendicular Waltz,Purpendicular
797,King Of Dreams,Slaves And Masters
798,The Cut Runs Deep,Slaves And Masters
799,Fire In The Basement,Slaves And Masters
800,Truth Hurts,Slaves And Masters
801,Breakfast In Bed,Slaves And Masters
802,Love Conquers All,Slaves And Masters
803,Fortuneteller,Slaves And Masters
804,Too Much Is Not Enough,Slaves And Masters
805,Wicked Ways,Slaves And Masters
806,Stormbringer,Stormbringer
807,Love Don't Mean a Thing,Stormbringer
808,Holy Man,Stormbringer
809,Hold On,Stormbringer
810,Lady Double Dealer,Stormbringer
811,You Can't Do it Right (With the One You Love),Stormbringer
812,High Ball Shooter,Stormbringer
813,The Gypsy,Stormbringer
814,Soldier Of Fortune,Stormbringer
815,The Battle Rages On,The Battle Rages On
816,Lick It Up,The Battle Rages On
817,Anya,The Battle Rages On
818,Talk About Love,The Battle Rages On
819,Time To Kill,The Battle Rages On
820,Ramshackle Man,The Battle Rages On
821,A Twist In The Tail,The Battle Rages On
822,Nasty Piece Of Work,The Battle Rages On
823,Solitaire,The Battle Rages On
824,One Man's Meat,The Battle Rages On
825,Pour Some Sugar On Me,Vault: Def Leppard's Greatest Hits
826,Photograph,Vault: Def Leppard's Greatest Hits
827,Love Bites,Vault: Def Leppard's Greatest Hits
828,Let's Get Rocked,Vault: Def Leppard's Greatest Hits
829,Two Steps Behind [Acoustic Version],Vault: Def Leppard's Greatest Hits
830,Animal,Vault: Def Leppard's Greatest Hits
831,Heaven Is,Vault: Def Leppard's Greatest Hits
832,Rocket,Vault: Def Leppard's Greatest Hits
833,When Love & Hate Collide,Vault: Def Leppard's Greatest Hits
834,Action,Vault: Def Leppard's Greatest Hits
835,Make Love Like A Man,Vault: Def Leppard's Greatest Hits
836,Armageddon It,Vault: Def Leppard's Greatest Hits
837,Have You Ever Needed Someone So Bad,Vault: Def Leppard's Greatest Hits
838,Rock Of Ages,Vault: Def Leppard's Greatest Hits
839,Hysteria,Vault: Def Leppard's Greatest Hits
840,Bringin' On The Heartbreak,Vault: Def Leppard's Greatest Hits
841,Roll Call,Outbreak
842,Otay,Outbreak
843,Groovus Interruptus,Outbreak
844,Paris On Mine,Outbreak
845,In Time,Outbreak
846,Plan B,Outbreak
847,Outbreak,Outbreak
848,"Baltimore, DC",Outbreak
849,Talkin Loud and Saying Nothin,Outbreak
850,Pétala,Djavan Ao Vivo - Vol. 02
851,Meu Bem-Querer,Djavan Ao Vivo - Vol. 02
852,Cigano,Djavan Ao Vivo - Vol. 02
853,Boa Noite,Djavan Ao Vivo - Vol. 02
854,Fato Consumado,Djavan Ao Vivo - Vol. 02
855,Faltando Um Pedaço,Djavan Ao Vivo - Vol. 02
856,Álibi,Djavan Ao Vivo - Vol. 02
857,Esquinas,Djavan Ao Vivo - Vol. 02
858,Se...,Djavan Ao Vivo - Vol. 02
859,Eu Te Devoro,Djavan Ao Vivo - Vol. 02
860,Lilás,Djavan Ao Vivo - Vol. 02
861,Acelerou,Djavan Ao Vivo - Vol. 02
862,Um Amor Puro,Djavan Ao Vivo - Vol. 02
863,Samurai,Djavan Ao Vivo - Vol. 1
864,Nem Um Dia,Djavan Ao Vivo - Vol. 1
865,Oceano,Djavan Ao Vivo - Vol. 1
866,Açai,Djavan Ao Vivo - Vol. 1
867,Serrado,Djavan Ao Vivo - Vol. 1
868,Flor De Lis,Djavan Ao Vivo - Vol. 1
869,Amar É Tudo,Djavan Ao Vivo - Vol. 1
870,Azul,Djavan Ao Vivo - Vol. 1
871,Seduzir,Djavan Ao Vivo - Vol. 1
872,A Carta,Djavan Ao Vivo - Vol. 1
873,Sina,Djavan Ao Vivo - Vol. 1
874,Acelerou,Djavan Ao Vivo - Vol. 1
875,Um Amor Puro,Djavan Ao Vivo - Vol. 1
876,O Bêbado e a Equilibrista,Elis Regina-Minha História
877,O Mestre-Sala dos Mares,Elis Regina-Minha História
878,Atrás da Porta,Elis Regina-Minha História
879,"Dois Pra Lá, Dois Pra Cá",Elis Regina-Minha História
880,Casa no Campo,Elis Regina-Minha História
881,Romaria,Elis Regina-Minha História
882,"Alô, Alô, Marciano",Elis Regina-Minha História
883,Me Deixas Louca,Elis Regina-Minha História
884,Fascinação,Elis Regina-Minha História
885,Saudosa Maloca,Elis Regina-Minha História
886,As Aparências Enganam,Elis Regina-Minha História
887,Madalena,Elis Regina-Minha História
888,Maria Rosa,Elis Regina-Minha História
889,Aprendendo A Jogar,Elis Regina-Minha História
890,Layla,The Cream Of Clapton
891,Badge,The Cream Of Clapton
892,I Feel Free,The Cream Of Clapton
893,Sunshine Of Your Love,The Cream Of Clapton
894,Crossroads,The Cream Of Clapton
895,Strange Brew,The Cream Of Clapton
896,White Room,The Cream Of Clapton
897,Bell Bottom Blues,The Cream Of Clapton
898,Cocaine,The Cream Of Clapton
899,I Shot The Sheriff,The Cream Of Clapton
900,After Midnight,The Cream Of Clapton
901,Swing Low Sweet Chariot,The Cream Of Clapton
902,Lay Down Sally,The Cream Of Clapton
903,Knockin On Heavens Door,The Cream Of Clapton
904,Wonderful Tonight,The Cream Of Clapton
905,Let It Grow,The Cream Of Clapton
906,Promises,The Cream Of Clapton
907,I Can't Stand It,The Cream Of Clapton
908,Signe,Unplugged
909,Before You Accuse Me,Unplugged
910,Hey Hey,Unplugged
911,Tears In Heaven,Unplugged
912,Lonely Stranger,Unplugged
913,Nobody Knows You When You're Down & Out,Unplugged
914,Layla,Unplugged
915,Running On Faith,Unplugged
916,Walkin' Blues,Unplugged
917,Alberta,Unplugged
918,San Francisco Bay Blues,Unplugged
919,Malted Milk,Unplugged
920,Old Love,Unplugged
921,Rollin' And Tumblin',Unplugged
922,Collision,Album Of The Year
923,Stripsearch,Album Of The Year
924,Last Cup Of Sorrow,Album Of The Year
925,Naked In Front Of The Computer,Album Of The Year
926,Helpless,Album Of The Year
927,Mouth To Mouth,Album Of The Year
928,Ashes To Ashes,Album Of The Year
929,She Loves Me Not,Album Of The Year
930,Got That Feeling,Album Of The Year
931,Paths Of Glory,Album Of The Year
932,Home Sick Home,Album Of The Year
933,Pristina,Album Of The Year
934,Land Of Sunshine,Angel Dust
935,Caffeine,Angel Dust
936,Midlife Crisis,Angel Dust
937,RV,Angel Dust
938,Smaller And Smaller,Angel Dust
939,Everything's Ruined,Angel Dust
940,Malpractice,Angel Dust
941,Kindergarten,Angel Dust
942,Be Aggressive,Angel Dust
943,A Small Victory,Angel Dust
944,Crack Hitler,Angel Dust
945,Jizzlobber,Angel Dust
946,Midnight Cowboy,Angel Dust
947,Easy,Angel Dust
948,Get Out,King For A Day Fool For A Lifetime
949,Ricochet,King For A Day Fool For A Lifetime
950,Evidence,King For A Day Fool For A Lifetime
951,The Gentle Art Of Making Enemies,King For A Day Fool For A Lifetime
952,Star A.D.,King For A Day Fool For A Lifetime
953,Cuckoo For Caca,King For A Day Fool For A Lifetime
954,Caralho Voador,King For A Day Fool For A Lifetime
955,Ugly In The Morning,King For A Day Fool For A Lifetime
956,Digging The Grave,King For A Day Fool For A Lifetime
957,Take This Bottle,King For A Day Fool For A Lifetime
958,King For A Day,King For A Day Fool For A Lifetime
959,What A Day,King For A Day Fool For A Lifetime
960,The Last To Know,King For A Day Fool For A Lifetime
961,Just A Man,King For A Day Fool For A Lifetime
962,Absolute Zero,King For A Day Fool For A Lifetime
963,From Out Of Nowhere,The Real Thing
964,Epic,The Real Thing
965,Falling To Pieces,The Real Thing
966,Surprise! You're Dead!,The Real Thing
967,Zombie Eaters,The Real Thing
968,The Real Thing,The Real Thing
969,Underwater Love,The Real Thing
970,The Morning After,The Real Thing
971,Woodpecker From Mars,The Real Thing
972,War Pigs,The Real Thing
973,Edge Of The World,The Real Thing
974,Deixa Entrar,Deixa Entrar
975,Falamansa Song,Deixa Entrar
976,Xote Dos Milagres,Deixa Entrar
977,Rindo À Toa,Deixa Entrar
978,Confidência,Deixa Entrar
979,Forró De Tóquio,Deixa Entrar
980,Zeca Violeiro,Deixa Entrar
981,Avisa,Deixa Entrar
982,Principiando/Decolagem,Deixa Entrar
983,Asas,Deixa Entrar
984,Medo De Escuro,Deixa Entrar
985,Oração,Deixa Entrar
986,Minha Gata,Deixa Entrar
987,Desaforo,Deixa Entrar
988,In Your Honor,In Your Honor [Disc 1]
989,No Way Back,In Your Honor [Disc 1]
990,Best Of You,In Your Honor [Disc 1]
991,DOA,In Your Honor [Disc 1]
992,Hell,In Your Honor [Disc 1]
993,The Last Song,In Your Honor [Disc 1]
994,Free Me,In Your Honor [Disc 1]
995,Resolve,In Your Honor [Disc 1]
996,The Deepest Blues Are Black,In Your Honor [Disc 1]
997,End Over End,In Your Honor [Disc 1]
998,Still,In Your Honor [Disc 2]
999,What If I Do?,In Your Honor [Disc 2]
1000,Miracle,In Your Honor [Disc 2]
1001,Another Round,In Your Honor [Disc 2]
1002,Friend Of A Friend,In Your Honor [Disc 2]
1003,Over And Out,In Your Honor [Disc 2]
1004,On The Mend,In Your Honor [Disc 2]
1005,Virginia Moon,In Your Honor [Disc 2]
1006,Cold Day In The Sun,In Your Honor [Disc 2]
1007,Razor,In Your Honor [Disc 2]
1008,All My Life,One By One
1009,Low,One By One
1010,Have It All,One By One
1011,Times Like These,One By One
1012,Disenchanted Lullaby,One By One
1013,Tired Of You,One By One
1014,Halo,One By One
1015,Lonely As You,One By One
1016,Overdrive,One By One
1017,Burn Away,One By One
1018,Come Back,One By One
1019,Doll,The Colour And The Shape
1020,Monkey Wrench,The Colour And The Shape
1021,"Hey, Johnny Park!",The Colour And The Shape
1022,My Poor Brain,The Colour And The Shape
1023,Wind Up,The Colour And The Shape
1024,Up In Arms,The Colour And The Shape
1025,My Hero,The Colour And The Shape
1026,See You,The Colour And The Shape
1027,Enough Space,The Colour And The Shape
1028,February Stars,The Colour And The Shape
1029,Everlong,The Colour And The Shape
1030,Walking After You,The Colour And The Shape
1031,New Way Home,The Colour And The Shape
1032,My Way,My Way: The Best Of Frank Sinatra [Disc 1]
1033,Strangers In The Night,My Way: The Best Of Frank Sinatra [Disc 1]
1034,"New York, New York",My Way: The Best Of Frank Sinatra [Disc 1]
1035,I Get A Kick Out Of You,My Way: The Best Of Frank Sinatra [Disc 1]
1036,Something Stupid,My Way: The Best Of Frank Sinatra [Disc 1]
1037,Moon River,My Way: The Best Of Frank Sinatra [Disc 1]
1038,What Now My Love,My Way: The Best Of Frank Sinatra [Disc 1]
1039,Summer Love,My Way: The Best Of Frank Sinatra [Disc 1]
1040,For Once In My Life,My Way: The Best Of Frank Sinatra [Disc 1]
1041,Love And Marriage,My Way: The Best Of Frank Sinatra [Disc 1]
1042,They Can't Take That Away From Me,My Way: The Best Of Frank Sinatra [Disc 1]
1043,My Kind Of Town,My Way: The Best Of Frank Sinatra [Disc 1]
1044,Fly Me To The Moon,My Way: The Best Of Frank Sinatra [Disc 1]
1045,I've Got You Under My Skin,My Way: The Best Of Frank Sinatra [Disc 1]
1046,The Best Is Yet To Come,My Way: The Best Of Frank Sinatra [Disc 1]
1047,It Was A Very Good Year,My Way: The Best Of Frank Sinatra [Disc 1]
1048,Come Fly With Me,My Way: The Best Of Frank Sinatra [Disc 1]
1049,That's Life,My Way: The Best Of Frank Sinatra [Disc 1]
1050,The Girl From Ipanema,My Way: The Best Of Frank Sinatra [Disc 1]
1051,The Lady Is A Tramp,My Way: The Best Of Frank Sinatra [Disc 1]
1052,"Bad, Bad Leroy Brown",My Way: The Best Of Frank Sinatra [Disc 1]
1053,Mack The Knife,My Way: The Best Of Frank Sinatra [Disc 1]
1054,Loves Been Good To Me,My Way: The Best Of Frank Sinatra [Disc 1]
1055,L.A. Is My Lady,My Way: The Best Of Frank Sinatra [Disc 1]
1056,Entrando Na Sua (Intro),Roda De Funk
1057,Nervosa,Roda De Funk
1058,Funk De Bamba (Com Fernanda Abreu),Roda De Funk
1059,Call Me At Cleo´s,Roda De Funk
1060,Olhos Coloridos (Com Sandra De Sá),Roda De Funk
1061,Zambação,Roda De Funk
1062,Funk Hum,Roda De Funk
1063,Forty Days (Com DJ Hum),Roda De Funk
1064,Balada Da Paula,Roda De Funk
1065,Dujji,Roda De Funk
1066,Meu Guarda-Chuva,Roda De Funk
1067,Motéis,Roda De Funk
1068,Whistle Stop,Roda De Funk
1069,16 Toneladas,Roda De Funk
1070,Divirta-Se (Saindo Da Sua),Roda De Funk
1071,Forty Days Instrumental,Roda De Funk
1072,Óia Eu Aqui De Novo,As Canções de Eu Tu Eles
1073,Baião Da Penha,As Canções de Eu Tu Eles
1074,Esperando Na Janela,As Canções de Eu Tu Eles
1075,Juazeiro,As Canções de Eu Tu Eles
1076,Último Pau-De-Arara,As Canções de Eu Tu Eles
1077,Asa Branca,As Canções de Eu Tu Eles
1078,Qui Nem Jiló,As Canções de Eu Tu Eles
1079,Assum Preto,As Canções de Eu Tu Eles
1080,Pau-De-Arara,As Canções de Eu Tu Eles
1081,A Volta Da Asa Branca,As Canções de Eu Tu Eles
1082,O Amor Daqui De Casa,As Canções de Eu Tu Eles
1083,As Pegadas Do Amor,As Canções de Eu Tu Eles
1084,Lamento Sertanejo,As Canções de Eu Tu Eles
1085,Casinha Feliz,As Canções de Eu Tu Eles
1086,Introdução (Live),Quanta Gente Veio Ver (Live)
1087,Palco (Live),Quanta Gente Veio Ver (Live)
1088,Is This Love (Live),Quanta Gente Veio Ver (Live)
1089,Stir It Up (Live),Quanta Gente Veio Ver (Live)
1090,Refavela (Live),Quanta Gente Veio Ver (Live)
1091,Vendedor De Caranguejo (Live),Quanta Gente Veio Ver (Live)
1092,Quanta (Live),Quanta Gente Veio Ver (Live)
1093,Estrela (Live),Quanta Gente Veio Ver (Live)
1094,Pela Internet (Live),Quanta Gente Veio Ver (Live)
1095,Cérebro Eletrônico (Live),Quanta Gente Veio Ver (Live)
1096,Opachorô (Live),Quanta Gente Veio Ver (Live)
1097,Copacabana (Live),Quanta Gente Veio Ver (Live)
1098,A Novidade (Live),Quanta Gente Veio Ver (Live)
1099,Ghandi (Live),Quanta Gente Veio Ver (Live)
1100,De Ouro E Marfim (Live),Quanta Gente Veio Ver (Live)
1101,Doce De Carnaval (Candy All),Quanta Gente Veio ver--Bônus De Carnaval
1102,Lamento De Carnaval,Quanta Gente Veio ver--Bônus De Carnaval
1103,Pretinha,Quanta Gente Veio ver--Bônus De Carnaval
1104,A Novidade,Unplugged
1105,Tenho Sede,Unplugged
1106,Refazenda,Unplugged
1107,Realce,Unplugged
1108,Esotérico,Unplugged
1109,Drão,Unplugged
1110,A Paz,Unplugged
1111,Beira Mar,Unplugged
1112,Sampa,Unplugged
1113,Parabolicamará,Unplugged
1114,Tempo Rei,Unplugged
1115,Expresso 2222,Unplugged
1116,Aquele Abraço,Unplugged
1117,Palco,Unplugged
1118,Toda Menina Baiana,Unplugged
1119,Sítio Do Pica-Pau Amarelo,Unplugged
1120,Straight Out Of Line,Faceless
1121,Faceless,Faceless
1122,Changes,Faceless
1123,Make Me Believe,Faceless
1124,I Stand Alone,Faceless
1125,Re-Align,Faceless
1126,I Fucking Hate You,Faceless
1127,Releasing The Demons,Faceless
1128,Dead And Broken,Faceless
1129,I Am,Faceless
1130,The Awakening,Faceless
1131,Serenity,Faceless
1132,American Idiot,American Idiot
1133,Jesus Of Suburbia / City Of The Damned / I Don't Care / Dearly Beloved / Tales Of Another Broken Home,American Idiot
1134,Holiday,American Idiot
1135,Boulevard Of Broken Dreams,American Idiot
1136,Are We The Waiting,American Idiot
1137,St. Jimmy,American Idiot
1138,Give Me Novacaine,American Idiot
1139,She's A Rebel,American Idiot
1140,Extraordinary Girl,American Idiot
1141,Letterbomb,American Idiot
1142,Wake Me Up When September Ends,American Idiot
1143,Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again,American Idiot
1144,Whatsername,American Idiot
1145,Welcome to the Jungle,Appetite for Destruction
1146,It's So Easy,Appetite for Destruction
1147,Nightrain,Appetite for Destruction
1148,Out Ta Get Me,Appetite for Destruction
1149,Mr. Brownstone,Appetite for Destruction
1150,Paradise City,Appetite for Destruction
1151,My Michelle,Appetite for Destruction
1152,Think About You,Appetite for Destruction
1153,Sweet Child O' Mine,Appetite for Destruction
1154,You're Crazy,Appetite for Destruction
1155,Anything Goes,Appetite for Destruction
1156,Rocket Queen,Appetite for Destruction
1157,Right Next Door to Hell,Use Your Illusion I
1158,Dust N' Bones,Use Your Illusion I
1159,Live and Let Die,Use Your Illusion I
1160,Don't Cry (Original),Use Your Illusion I
1161,Perfect Crime,Use Your Illusion I
1162,You Ain't the First,Use Your Illusion I
1163,Bad Obsession,Use Your Illusion I
1164,Back off Bitch,Use Your Illusion I
1165,Double Talkin' Jive,Use Your Illusion I
1166,November Rain,Use Your Illusion I
1167,The Garden,Use Your Illusion I
1168,Garden of Eden,Use Your Illusion I
1169,Don't Damn Me,Use Your Illusion I
1170,Bad Apples,Use Your Illusion I
1171,Dead Horse,Use Your Illusion I
1172,Coma,Use Your Illusion I
1173,Civil War,Use Your Illusion II
1174,14 Years,Use Your Illusion II
1175,Yesterdays,Use Your Illusion II
1176,Knockin' On Heaven's Door,Use Your Illusion II
1177,Get In The Ring,Use Your Illusion II
1178,Shotgun Blues,Use Your Illusion II
1179,Breakdown,Use Your Illusion II
1180,Pretty Tied Up,Use Your Illusion II
1181,Locomotive,Use Your Illusion II
1182,So Fine,Use Your Illusion II
1183,Estranged,Use Your Illusion II
1184,You Could Be Mine,Use Your Illusion II
1185,Don't Cry,Use Your Illusion II
1186,My World,Use Your Illusion II
1187,Colibri,Blue Moods
1188,Love Is The Colour,Blue Moods
1189,Magnetic Ocean,Blue Moods
1190,Deep Waters,Blue Moods
1191,L'Arc En Ciel De Miles,Blue Moods
1192,Gypsy,Blue Moods
1193,Journey Into Sunlight,Blue Moods
1194,Sunchild,Blue Moods
1195,Millenium,Blue Moods
1196,Thinking 'Bout Tomorrow,Blue Moods
1197,Jacob's Ladder,Blue Moods
1198,She Wears Black,Blue Moods
1199,Dark Side Of The Cog,Blue Moods
1200,Different World,A Matter of Life and Death
1201,These Colours Don't Run,A Matter of Life and Death
1202,Brighter Than a Thousand Suns,A Matter of Life and Death
1203,The Pilgrim,A Matter of Life and Death
1204,The Longest Day,A Matter of Life and Death
1205,Out of the Shadows,A Matter of Life and Death
1206,The Reincarnation of Benjamin Breeg,A Matter of Life and Death
1207,For the Greater Good of God,A Matter of Life and Death
1208,Lord of Light,A Matter of Life and Death
1209,The Legacy,A Matter of Life and Death
1210,Hallowed Be Thy Name (Live) [Non Album Bonus Track],A Matter of Life and Death
1211,The Number Of The Beast,A Real Dead One
1212,The Trooper,A Real Dead One
1213,Prowler,A Real Dead One
1214,Transylvania,A Real Dead One
1215,Remember Tomorrow,A Real Dead One
1216,Where Eagles Dare,A Real Dead One
1217,Sanctuary,A Real Dead One
